game,game_label,record_type,source_name,source_url,id,name,description,type_name,version,image_url,start_at_utc,end_at_utc,start_at_output_tz,end_at_output_tz,has_expired,expires_in,rewards,special_reward,characters,weapons,light_cones
genshin,Genshin Impact,banner,Ennead Calendar,https://api.ennead.cc/mihoyo/genshin/calendar,225,Character Event Wish,,,7.0,,2026-09-01T10:00:00+00:00,2026-09-22T06:59:59+00:00,2026-09-01T10:00:00+00:00,2026-09-22T06:59:59+00:00,False,17d 23h 45m,[],null,"[{""id"": 10000120, ""name"": ""Flins"", ""icon"": ""https://act-webstatic.hoyoverse.com/hk4e/e20200928calculate/item_icon/68c0b17a/6aae9f16cbe14ac60dd6eb2956e4acf2.png"", ""element"": ""Electro"", ""rarity"": 5}, {""id"": 10000121, ""name"": ""Aino"", ""icon"": ""https://act-webstatic.hoyoverse.com/hk4e/e20200928calculate/item_icon/68c0b17a/cfec735e9e867016be94f500e9dae122.png"", ""element"": ""Hydro"", ""rarity"": 4}, {""id"": 10000110, ""name"": ""Iansan"", ""icon"": ""https://act-webstatic.hoyoverse.com/hk4e/e20200928calculate/item_icon/67e3357c/f44e8b4c7a61a4abb2aa2ccfe9b810cd.png"", ""element"": ""Electro"", ""rarity"": 4}, {""id"": 10000108, ""name"": ""Lan Yan"", ""icon"": ""https://act-webstatic.hoyoverse.com/hk4e/e20200928calculate/item_icon/67c7f6c8/eba829f8ca4b38367c4a2551d0e228ae.png"", ""element"": ""Anemo"", ""rarity"": 4}]",[],[]
genshin,Genshin Impact,banner,Ennead Calendar,https://api.ennead.cc/mihoyo/genshin/calendar,226,Character Event Wish 2,,,7.0,,2026-09-01T10:00:00+00:00,2026-09-22T06:59:59+00:00,2026-09-01T10:00:00+00:00,2026-09-22T06:59:59+00:00,False,17d 23h 45m,[],null,"[{""id"": 10000116, ""name"": ""Ineffa"", ""icon"": ""https://act-webstatic.hoyoverse.com/hk4e/e20200928calculate/item_icon/6889608b/f1723762f28902659f73902bbbda1fd6.png"", ""element"": ""Electro"", ""rarity"": 5}, {""id"": 10000121, ""name"": ""Aino"", ""icon"": ""https://act-webstatic.hoyoverse.com/hk4e/e20200928calculate/item_icon/68c0b17a/cfec735e9e867016be94f500e9dae122.png"", ""element"": ""Hydro"", ""rarity"": 4}, {""id"": 10000110, ""name"": ""Iansan"", ""icon"": ""https://act-webstatic.hoyoverse.com/hk4e/e20200928calculate/item_icon/67e3357c/f44e8b4c7a61a4abb2aa2ccfe9b810cd.png"", ""element"": ""Electro"", ""rarity"": 4}, {""id"": 10000108, ""name"": ""Lan Yan"", ""icon"": ""https://act-webstatic.hoyoverse.com/hk4e/e20200928calculate/item_icon/67c7f6c8/eba829f8ca4b38367c4a2551d0e228ae.png"", ""element"": ""Anemo"", ""rarity"": 4}]",[],[]
genshin,Genshin Impact,banner,Ennead Calendar,https://api.ennead.cc/mihoyo/genshin/calendar,227,Weapon Event Wish,,,7.0,,2026-09-01T10:00:00+00:00,2026-09-22T06:59:59+00:00,2026-09-01T10:00:00+00:00,2026-09-22T06:59:59+00:00,False,17d 23h 45m,[],null,[],"[{""id"": 13516, ""name"": ""Bloodsoaked Ruins"", ""icon"": ""https://act-webstatic.hoyoverse.com/hk4e/e20200928calculate/item_icon/68c0b17a/51a4244e38d1011926a21f25942e78c6.png"", ""rarity"": 5}, {""id"": 13515, ""name"": ""Fractured Halo"", ""icon"": ""https://act-webstatic.hoyoverse.com/hk4e/e20200928calculate/item_icon/6889608b/9d23036ecf61183797246cf410765956.png"", ""rarity"": 5}, {""id"": 11402, ""name"": ""The Flute"", ""icon"": ""https://act-webstatic.hoyoverse.com/hk4e/e20200928calculate/item_icon/67c7f6c8/e72bdcaaeb4b0a1ea13cfb76c88aa4cb.png"", ""rarity"": 4}, {""id"": 12401, ""name"": ""Favonius Greatsword"", ""icon"": ""https://act-webstatic.hoyoverse.com/hk4e/e20200928calculate/item_icon/67c7f6c8/7646388f158d62d56f368631a37427c3.png"", ""rarity"": 4}, {""id"": 13407, ""name"": ""Favonius Lance"", ""icon"": ""https://act-webstatic.hoyoverse.com/hk4e/e20200928calculate/item_icon/67c7f6c8/7db45b7a84bb80468aaf0f5f430e9bdc.png"", ""rarity"": 4}, {""id"": 14409, ""name"": ""Eye of Perception"", ""icon"": ""https://act-webstatic.hoyoverse.com/hk4e/e20200928calculate/item_icon/67c7f6c8/811ff594eebe6cc05f12e02662803239.png"", ""rarity"": 4}, {""id"": 15402, ""name"": ""The Stringless"", ""icon"": ""https://act-webstatic.hoyoverse.com/hk4e/e20200928calculate/item_icon/67c7f6c8/da3d5e7bbc112c4e1378de554a79c6c3.png"", ""rarity"": 4}]",[]
starrail,Honkai: Star Rail,banner,Ennead Calendar,https://api.ennead.cc/mihoyo/starrail/calendar,91,,,,4.5,,2026-08-26T02:00:00+00:00,2026-09-12T10:59:00+00:00,2026-08-26T02:00:00+00:00,2026-09-12T10:59:00+00:00,False,8d 3h 44m,[],null,"[{""id"": 1512, ""name"": ""Robin \u2022 Summeretto"", ""icon"": ""https://act-webstatic.hoyoverse.com/darkmatter/hkrpg/prod_gf_cn/item_icon_ub3eje/d889e50b509c85f140bc0dc5a0ac5acd.png"", ""element"": ""16"", ""path"": ""8"", ""rarity"": 5}, {""id"": 1409, ""name"": ""Hyacine"", ""icon"": ""https://act-webstatic.hoyoverse.com/darkmatter/hkrpg/prod_gf_cn/item_icon_ub3eje/832f411a3b627f53aaa7d0a9a3f95588.png"", ""element"": ""16"", ""path"": ""8"", ""rarity"": 5}, {""id"": 1002, ""name"": ""Dan Heng"", ""icon"": ""https://act-webstatic.hoyoverse.com/darkmatter/hkrpg/prod_gf_cn/item_icon_ub3eje/745bf067048b858b37578f88a24f8161.png"", ""element"": ""16"", ""path"": ""2"", ""rarity"": 4}, {""id"": 1201, ""name"": ""Qingque"", ""icon"": ""https://act-webstatic.hoyoverse.com/darkmatter/hkrpg/prod_gf_cn/item_icon_ub3eje/8c2efdc5df86247fb984d669dc76b641.png"", ""element"": ""32"", ""path"": ""3"", ""rarity"": 4}, {""id"": 1301, ""name"": ""Gallagher"", ""icon"": ""https://act-webstatic.hoyoverse.com/darkmatter/hkrpg/prod_gf_cn/item_icon_ub3eje/6c47549cd3ca796844e18f409923630e.png"", ""element"": ""2"", ""path"": ""7"", ""rarity"": 4}]",[],[]
starrail,Honkai: Star Rail,banner,Ennead Calendar,https://api.ennead.cc/mihoyo/starrail/calendar,92,,,,4.5,,2026-08-26T02:00:00+00:00,2026-09-12T10:59:00+00:00,2026-08-26T02:00:00+00:00,2026-09-12T10:59:00+00:00,False,8d 3h 44m,[],null,[],[],"[{""id"": 23063, ""name"": ""Rise and Sing"", ""icon"": ""https://act-webstatic.hoyoverse.com/darkmatter/hkrpg/prod_gf_cn/item_icon_ub3eje/0e4b5274464f5bcaf1ce84ad04d9a92d.png"", ""path"": ""8"", ""rarity"": 5}, {""id"": 23042, ""name"": ""Long May Rainbows Adorn the Sky"", ""icon"": ""https://act-webstatic.hoyoverse.com/darkmatter/hkrpg/prod_gf_cn/item_icon_ub3eje/3306551e81dfac7060fb13f7793d87d1.png"", ""path"": ""8"", ""rarity"": 5}, {""id"": 21048, ""name"": ""Dream's Montage"", ""icon"": ""https://act-webstatic.hoyoverse.com/darkmatter/hkrpg/prod_gf_cn/item_icon_ub3eje/c538d67c23c11dc4575d1dfc078a1689.png"", ""path"": ""7"", ""rarity"": 4}, {""id"": 21051, ""name"": ""Geniuses' Greetings"", ""icon"": ""https://act-webstatic.hoyoverse.com/darkmatter/hkrpg/prod_gf_cn/item_icon_ub3eje/d6fd4f133fe7f246c7bbfae6f4c737ba.png"", ""path"": ""8"", ""rarity"": 4}, {""id"": 21066, ""name"": ""A Little Getaway"", ""icon"": ""https://act-webstatic.hoyoverse.com/darkmatter/hkrpg/prod_gf_cn/item_icon_ub3eje/562e300240d43b26f2cee5c57d40a15c.png"", ""path"": ""9"", ""rarity"": 4}]"
starrail,Honkai: Star Rail,banner,Ennead Calendar,https://api.ennead.cc/mihoyo/starrail/calendar,93,,,,4.5,,2026-09-12T11:00:00+00:00,2026-09-27T19:59:00+00:00,2026-09-12T11:00:00+00:00,2026-09-27T19:59:00+00:00,False,23d 12h 44m,[],null,"[{""id"": 1513, ""name"": ""Aventurine \u2022 Waveflair"", ""icon"": ""https://act-webstatic.hoyoverse.com/darkmatter/hkrpg/pre_webtool_cn/item_icon_u93doc/b6ce82732a1bfcf41bec19c467f8cef6.png"", ""element"": ""32"", ""path"": ""9"", ""rarity"": 5}, {""id"": 1504, ""name"": ""Ashveil"", ""icon"": ""https://act-webstatic.hoyoverse.com/darkmatter/hkrpg/prod_gf_cn/item_icon_ub3eje/15c81579701a1178ea8356859942d3d8.png"", ""element"": ""8"", ""path"": ""2"", ""rarity"": 5}, {""id"": 1108, ""name"": ""Sampo"", ""icon"": ""https://act-webstatic.hoyoverse.com/darkmatter/hkrpg/prod_gf_cn/item_icon_ub3eje/83407327708ee147c39f2bbd5edd27e0.png"", ""element"": ""16"", ""path"": ""5"", ""rarity"": 4}, {""id"": 1109, ""name"": ""Hook"", ""icon"": ""https://act-webstatic.hoyoverse.com/darkmatter/hkrpg/prod_gf_cn/item_icon_ub3eje/4ab7d4828f01bcdd5cf0e91152abe16e.png"", ""element"": ""2"", ""path"": ""1"", ""rarity"": 4}, {""id"": 1210, ""name"": ""Guinaifen"", ""icon"": ""https://act-webstatic.hoyoverse.com/darkmatter/hkrpg/prod_gf_cn/item_icon_ub3eje/a1a079311fcc42921647c70c7bf2d0b6.png"", ""element"": ""2"", ""path"": ""5"", ""rarity"": 4}]",[],[]
starrail,Honkai: Star Rail,banner,Ennead Calendar,https://api.ennead.cc/mihoyo/starrail/calendar,94,,,,4.5,,2026-09-12T11:00:00+00:00,2026-09-27T19:59:00+00:00,2026-09-12T11:00:00+00:00,2026-09-27T19:59:00+00:00,False,23d 12h 44m,[],null,[],[],"[{""id"": 23064, ""name"": ""Summer Rides the Surf"", ""icon"": ""https://act-webstatic.hoyoverse.com/darkmatter/hkrpg/pre_webtool_cn/item_icon_u93doc/a42b853d75234296718394a4cb2c3dcd.png"", ""path"": ""9"", ""rarity"": 5}, {""id"": 23056, ""name"": ""The Finale of a Lie"", ""icon"": ""https://act-webstatic.hoyoverse.com/darkmatter/hkrpg/prod_gf_cn/item_icon_ub3eje/5551969842c837cae77e913435d2a72e.png"", ""path"": ""2"", ""rarity"": 5}, {""id"": 21003, ""name"": ""Only Silence Remains"", ""icon"": ""https://act-webstatic.hoyoverse.com/darkmatter/hkrpg/prod_gf_cn/item_icon_ub3eje/8ac30ca56074a35faaf4a01147f1054b.png"", ""path"": ""2"", ""rarity"": 4}, {""id"": 21014, ""name"": ""Perfect Timing"", ""icon"": ""https://act-webstatic.hoyoverse.com/darkmatter/hkrpg/prod_gf_cn/item_icon_ub3eje/dbd51b0df9f00af8825abc9646a8a386.png"", ""path"": ""7"", ""rarity"": 4}, {""id"": 21054, ""name"": ""The Story's Next Page"", ""icon"": ""https://act-webstatic.hoyoverse.com/darkmatter/hkrpg/prod_gf_cn/item_icon_ub3eje/a65ba0c819ee22185f9ac214bed711b7.png"", ""path"": ""8"", ""rarity"": 4}]"
